slug,language,title,grade_level,version,filename,split
3d-indoormap,en,3-D maps on the horizon for smartphones,6.0,2,3d-indoormap.en.2.txt,train
3d-indoormap,en,"Creating 3-D maps anywhere, and quickly, with smartphones",5.0,3,3d-indoormap.en.3.txt,train
3d-indoormap,en,"Instant 3-D maps, on a smartphone",4.0,4,3d-indoormap.en.4.txt,train
401k-literacy,en,Teaching high school students about 401(k)s,12.0,0,401k-literacy.en.0.txt,train
401k-literacy,en,Virginia teens learn about saving for retirement and managing credit,9.0,1,401k-literacy.en.1.txt,train
401k-literacy,en,"Reading, writing, 'rithmetic and retirement? Teens learn about 401(k)s",7.0,2,401k-literacy.en.2.txt,train
401k-literacy,en,"To graduate from this high school, students learn how to manage money",5.0,3,401k-literacy.en.3.txt,train
401k-literacy,en,Virginia high school students learn how to be smart about money,3.0,4,401k-literacy.en.4.txt,train
ADHD-game,en,"Game's hidden purpose: Tracking, diagnosing ADHD",12.0,0,ADHD-game.en.0.txt,train
ADHD-game,en,"""Groundskeeper"" video game tests for attention deficit disorders",8.0,1,ADHD-game.en.1.txt,train
ADHD-game,en,A video game is used to test for brain disorders like attention deficit,7.0,2,ADHD-game.en.2.txt,train
ADHD-game,en,"A video game called ""Groundskeeper"" is used to test brain disorders",5.0,3,ADHD-game.en.3.txt,train
ADHD-game,en,Measuring attention disorders through a fun video game,4.0,4,ADHD-game.en.4.txt,train
AsianAmericans-south,en,How Asian-Americans are changing the South,12.0,0,AsianAmericans-south.en.0.txt,train
AsianAmericans-south,en,The South's demographic shift as Asian-American population explodes,9.0,1,AsianAmericans-south.en.1.txt,train
AsianAmericans-south,en,Asian-Americans are changing the face of the South,7.0,2,AsianAmericans-south.en.2.txt,train
AsianAmericans-south,en,The South is beginning to look a little different,6.0,3,AsianAmericans-south.en.3.txt,train
AsianAmericans-south,en,Many Asian-Americans are moving to  the South,4.0,4,AsianAmericans-south.en.4.txt,train
Australia-troubledkids,en,"In Australia's outback, troubled youths find help in old traditions",12.0,0,Australia-troubledkids.en.0.txt,train
Australia-troubledkids,en,"Troubled youth in Australian tribe find healing in wilderness, culture",7.0,1,Australia-troubledkids.en.1.txt,train
Australia-troubledkids,en,"Troubled Australian youth healed by tribal culture, eat ants for dessert",6.0,2,Australia-troubledkids.en.2.txt,train
Australia-troubledkids,en,Australian tribe sends troubled youth into the bush for spiritual healing,5.0,3,Australia-troubledkids.en.3.txt,train
Australia-troubledkids,en,Australian tribe helps many kids beat drug abuse with wilderness trip,4.0,4,Australia-troubledkids.en.4.txt,train
Braille-startup,en,13-year-old entrepreneur raises VC funding for Braille printer,12.0,0,Braille-startup.en.0.txt,train
Braille-startup,en,Simple question leads 13-year-old to start his own company,8.0,1,Braille-startup.en.1.txt,train
Braille-startup,en,Middle schooler started with Legos and built a company,6.0,2,Braille-startup.en.2.txt,train
Braille-startup,en,13-year-old gets money for invention from computer company,4.0,3,Braille-startup.en.3.txt,train
Braille-startup,en,Curious 13-year-old invents a printer,3.0,4,Braille-startup.en.4.txt,train
Civilrights-comicbook,en,Comic book is Rep. John Lewis' civil rights-era teaching tool,12.0,0,Civilrights-comicbook.en.0.txt,train
Civilrights-comicbook,en,A congressman writes a comic book about his work in the civil rights era,8.0,1,Civilrights-comicbook.en.1.txt,train
Civilrights-comicbook,en,A comic book by a congressman brings the civil rights movement to life,6.0,2,Civilrights-comicbook.en.2.txt,train
Civilrights-comicbook,en,History comes to life in comic book about civil rights era by a congressman,4.0,3,Civilrights-comicbook.en.3.txt,train
Civilrights-comicbook,en,"No superheroes, just real heroes: comic book tells the civil rights story",3.0,4,Civilrights-comicbook.en.4.txt,train
D-day-fallen,en,"World honors D-Day's fallen, 70 years on",12.0,0,D-day-fallen.en.0.txt,train
D-day-fallen,en,"Silent salutes, and tears, mark 70th anniversary of D-Day",9.0,1,D-day-fallen.en.1.txt,train
D-day-fallen,en,"Remembering the D-Day invasion with salutes, tears and friendship",8.0,2,D-day-fallen.en.2.txt,train
D-day-fallen,en,Remembering those killed during the D-Day invasion 70 years ago,6.0,3,D-day-fallen.en.3.txt,train
D-day-fallen,en,Remembering D-Day 70 years ago,4.0,4,D-day-fallen.en.4.txt,train
Detroit-bankruptcy,en,Detroit residents testify about water shut-offs; city: water isn't free,12.0,0,Detroit-bankruptcy.en.0.txt,train
Detroit-bankruptcy,en,Detroit shuts off water for thousands; groups ask judge to turn it back on,8.0,1,Detroit-bankruptcy.en.1.txt,train
Detroit-bankruptcy,en,Many in Detroit lose water service; ask judge to make city turn on the taps,7.0,2,Detroit-bankruptcy.en.2.txt,train
Detroit-bankruptcy,en,Detroit residents complain the city shut off their water without warning,5.0,3,Detroit-bankruptcy.en.3.txt,train
Detroit-bankruptcy,en,"Detroit shuts water for some people, who ask judge to turn it back on",4.0,4,Detroit-bankruptcy.en.4.txt,train
Drone-sightings,en,Drone sightings are up dramatically,12.0,0,Drone-sightings.en.0.txt,train
Drone-sightings,en,"It's a bird, it's a plane, it's ... another drone",8.0,1,Drone-sightings.en.1.txt,train
Drone-sightings,en,More drones spotted in the sky,7.0,2,Drone-sightings.en.2.txt,train
Drone-sightings,en,More drones in the sky spells trouble for airplanes,5.0,3,Drone-sightings.en.3.txt,train
Drone-sightings,en,Drones are crowding the skies,4.0,4,Drone-sightings.en.4.txt,train
Fastfood-calories,en,"FDA requires calorie counts for retail foods, vending machine fare",12.0,0,Fastfood-calories.en.0.txt,train
Fastfood-calories,en,Calorie counts to begin showing up  pretty much everywhere,9.0,1,Fastfood-calories.en.1.txt,train
Fastfood-calories,en,Calorie counting will be easier when new rules are followed,7.0,2,Fastfood-calories.en.2.txt,train
Fastfood-calories,en,Counting your outside meal's calories will be easier next year,5.0,3,Fastfood-calories.en.3.txt,train
Fastfood-calories,en,Calorie rules will help with healthy food choices,4.0,4,Fastfood-calories.en.4.txt,train
Fastfood-millennials,en,Young diners a fast-food challenge,12.0,0,Fastfood-millennials.en.0.txt,train
Fastfood-millennials,en,Fast-food companies feed millennial generation's healthy appetites,8.0,1,Fastfood-millennials.en.1.txt,train
Fastfood-millennials,en,Healthy fast food is challenging for many young people,6.0,2,Fastfood-millennials.en.2.txt,train
Fastfood-millennials,en,Salad or burger? Young diners can't make up their minds,4.0,3,Fastfood-millennials.en.3.txt,train
Fastfood-millennials,en,Young people look for healthy fast food,3.0,4,Fastfood-millennials.en.4.txt,train
Free-fashions,en,Cool Clothes Closet gives kids in need a free boutique experience,12.0,0,Free-fashions.en.0.txt,train
Free-fashions,en,Free clothing boutique opens for kids in need,8.0,1,Free-fashions.en.1.txt,train
Free-fashions,en,Special store in Florida gives clothes to kids for free,6.0,2,Free-fashions.en.2.txt,train
Free-fashions,en,"A ""Cool Closet"" where the clothes are free",4.0,3,Free-fashions.en.3.txt,train
Free-fashions,en,Kids can pick clothes for free at a special store,3.0,4,Free-fashions.en.4.txt,train
Hospital-bootcamp,en,Hospital boot camp makes exercise fun for kids,12.0,0,Hospital-bootcamp.en.0.txt,train
Hospital-bootcamp,en,Kids are rock stars at getting in shape in Miami health program,6.0,1,Hospital-bootcamp.en.1.txt,train
Hospital-bootcamp,en,A health program that gets kids up and moving,5.0,2,Hospital-bootcamp.en.2.txt,train
Hospital-bootcamp,en,Miami kids go to boot camp to get in shape,4.0,3,Hospital-bootcamp.en.3.txt,train
Hospital-bootcamp,en,Working out is fun for Miami kids,2.0,4,Hospital-bootcamp.en.4.txt,train
Hurricane-drones,en,Drones to fly into hurricanes to help improve storm forecasts,12.0,0,Hurricane-drones.en.0.txt,train
Hurricane-drones,en,Hurricane forecasting enters the drone era,8.0,1,Hurricane-drones.en.1.txt,train
Hurricane-drones,en,Drones will be launched in an attack on hurricanes this storm season,7.0,2,Hurricane-drones.en.2.txt,train
Hurricane-drones,en,Drones are ready to take on hurricane season,5.0,3,Hurricane-drones.en.3.txt,train
Hurricane-drones,en,Drones will be put to work this hurricane season,4.0,4,Hurricane-drones.en.4.txt,train
Iditarod-finish,en,Nome preps for Iditarod mushers,12.0,0,Iditarod-finish.en.0.txt,train
Iditarod-finish,en,Nome makes itself ready for Iditarod,8.0,1,Iditarod-finish.en.1.txt,train
Iditarod-finish,en,Dogsled race to Nome recalls serum run,7.0,2,Iditarod-finish.en.2.txt,train
Iditarod-finish,en,Nome gets ready to welcome mushers,5.0,3,Iditarod-finish.en.3.txt,train
Iditarod-finish,en,Cold Nome prepares warm welcome for mushers and their dog teams,4.0,4,Iditarod-finish.en.4.txt,train
Iditarod-finish,en,Mushers and their dog teams race across Alaska,2.0,5,Iditarod-finish.en.5.txt,train
Indonesian-caveart,en,"Indonesian cave art is nearly 40,000 years old, study says",12.0,0,Indonesian-caveart.en.0.txt,train
Indonesian-caveart,en,Prehistoric Indonesian cave art waits nearly 60 years for a date,8.0,1,Indonesian-caveart.en.1.txt,train
Indonesian-caveart,en,Ancient cave art on two continents is about the same age,7.0,2,Indonesian-caveart.en.2.txt,train
Indonesian-caveart,en,Ancient humans' art is older than we thought,5.0,3,Indonesian-caveart.en.3.txt,train
Indonesian-caveart,en,Figuring out the age of ancient cave art,4.0,4,Indonesian-caveart.en.4.txt,train
King-nobelprize,en,King's Nobel tested Atlanta's tolerance,12.0,0,King-nobelprize.en.0.txt,train
King-nobelprize,en,Dr. King's Nobel Peace Prize united 1964 Atlanta,8.0,1,King-nobelprize.en.1.txt,train
King-nobelprize,en,King's Nobel Prize celebration inspired good will in Atlanta,6.0,2,King-nobelprize.en.2.txt,train
King-nobelprize,en,King's Nobel Prize meant change in Atlanta,4.0,3,King-nobelprize.en.3.txt,train
King-nobelprize,en,The Peace Prize that brought people together,3.0,4,King-nobelprize.en.4.txt,train
LA-fossils,en,Unearthing a fossil haven,12.0,0,LA-fossils.en.0.txt,train
LA-fossils,en,L.A. subway work burps up a bonanza of prehistoric swag,9.0,1,LA-fossils.en.1.txt,train
LA-fossils,en,"Beneath L.A., unearthing the last great ice age",7.0,2,LA-fossils.en.2.txt,train
LA-fossils,en,Looking for fossils from a long-buried beach,6.0,3,LA-fossils.en.3.txt,train
LA-fossils,en,Digging the last great ice age in L.A.,4.0,4,LA-fossils.en.4.txt,train
Last-navajocodetalker,en,"Chester Nez, last of WWII's Navajo code talkers, dies at 93",12.0,0,Last-navajocodetalker.en.0.txt,train
Last-navajocodetalker,en,Last of the original Navajo code talkers dies at 93,7.0,1,Last-navajocodetalker.en.1.txt,train
Last-navajocodetalker,en,Last of the Navajo code talkers dies,6.0,2,Last-navajocodetalker.en.2.txt,train
Last-navajocodetalker,en,Navajo code talker Nez dies at 93,5.0,3,Last-navajocodetalker.en.3.txt,train
Last-navajocodetalker,en,"Nez, Navajo code talker in WWII, dies",4.0,4,Last-navajocodetalker.en.4.txt,train
NFL-Players,en,Aaron Hernandez fallout: Teams reevaluate taking risks on players,12.0,0,NFL-Players.en.0.txt,train
NFL-Players,en,When do character flaws override talent in the NFL?,9.0,1,NFL-Players.en.1.txt,train
NFL-Players,en,Talent versus character in NFL debated after murder arrest,7.0,2,NFL-Players.en.2.txt,train
NFL-Players,en,Football player's murder arrest sparks talent versus character debate,5.0,3,NFL-Players.en.3.txt,train
NFL-Players,en,When is a talented-but-troubled player too risky to draft?,4.0,4,NFL-Players.en.4.txt,train
New-civilrights,en,Activists responding to police killings see potential new civil rights era,12.0,0,New-civilrights.en.0.txt,train
New-civilrights,en,Bracing for a new civil rights movement,8.0,1,New-civilrights.en.1.txt,train
New-civilrights,en,A new civil rights era taking shape,7.0,2,New-civilrights.en.2.txt,train
New-civilrights,en,Protests spread across the country for change,5.0,3,New-civilrights.en.3.txt,train
New-civilrights,en,New protests for fair treatment,4.0,4,New-civilrights.en.4.txt,train
Nigeria-ebolafree,en,"Ebola-free Nigeria hailed as ""success story"" in battling outbreak",12.0,0,Nigeria-ebolafree.en.0.txt,train
Nigeria-ebolafree,en,"Ebola epidemic ends in Nigeria, health group says",8.0,1,Nigeria-ebolafree.en.1.txt,train
Nigeria-ebolafree,en,"Nigeria is free of Ebola epidemic, says World Health Organization",7.0,2,Nigeria-ebolafree.en.2.txt,train
Nigeria-ebolafree,en,"Nigeria stops its Ebola outbreak, health group says",5.0,3,Nigeria-ebolafree.en.3.txt,train
Nigeria-ebolafree,en,"Nigeria is now free of Ebola, health group says",4.0,4,Nigeria-ebolafree.en.4.txt,train
Nobel-peacewinner,en,Nobel Peace Prize honors Malala Yousafzai and Kailash Satyarthi,12.0,0,Nobel-peacewinner.en.0.txt,train
Nobel-peacewinner,en,Two children's rights activists awarded the Nobel Peace Prize,8.0,1,Nobel-peacewinner.en.1.txt,train
Nobel-peacewinner,en,Malala of Pakistan and Satyarthi of India awarded Nobel Peace Prize,6.0,2,Nobel-peacewinner.en.2.txt,train
Nobel-peacewinner,en,Nobel Peace Prize given to two who work for children's rights,5.0,3,Nobel-peacewinner.en.3.txt,train
Nobel-peacewinner,en,Peace Prize awarded to Malala Yousafzai and Kailash Satyarthi,4.0,4,Nobel-peacewinner.en.4.txt,train
Obama-Islamic-State,en,Obama orders airstrikes in Syria for first time,12.0,0,Obama-Islamic-State.en.0.txt,train
Obama-Islamic-State,en,"Obama announces plan to ""degrade and ultimately destroy"" ISIL",9.0,1,Obama-Islamic-State.en.1.txt,train
Obama-Islamic-State,en,"Obama plans to bomb Syria, Iraq to stop ISIL extremists",7.0,2,Obama-Islamic-State.en.2.txt,train
Obama-Islamic-State,en,Once anti-war Obama plans airstrikes against ISIL in Syria and Iraq,6.0,3,Obama-Islamic-State.en.3.txt,train
Obama-Islamic-State,en,"Obama: ""If you threaten America, you will find no safe haven""",4.0,4,Obama-Islamic-State.en.4.txt,train
Obama-girlsschooling,en,"U.S., Japan's first ladies target ""injustice"" of girls kept out of school",12.0,0,Obama-girlsschooling.en.0.txt,train
Obama-girlsschooling,en,"First lady in Asia: Girl power starts with going to school, dreaming big",9.0,1,Obama-girlsschooling.en.1.txt,train
Obama-girlsschooling,en,Michelle Obama's girl talk in Asia: Make school cool for the world's girls,7.0,2,Obama-girlsschooling.en.2.txt,train
Obama-girlsschooling,en,"First lady in Asia: ""Change the world,"" help 62 million girls go to school",5.0,3,Obama-girlsschooling.en.3.txt,train
Obama-girlsschooling,en,"First ladies of U.S., Japan rule: Help girls in 11 countries go to school ",4.0,4,Obama-girlsschooling.en.4.txt,train
SAT-changes,en,Revised SAT exam will drop essay requirement starting in 2016,12.0,0,SAT-changes.en.0.txt,train
SAT-changes,en,"SAT test gets an overhaul, essay dropped",9.0,1,SAT-changes.en.1.txt,train
SAT-changes,en,"SAT exam gets a makeover, essay and unusual vocabulary dropped",6.0,2,SAT-changes.en.2.txt,train
SAT-changes,en,Redesigned SAT test drops essay for 2016,5.0,3,SAT-changes.en.3.txt,train
SAT-changes,en,Changes made to SAT exam for college,4.0,4,SAT-changes.en.4.txt,train
TRIBAL-SUICIDE,en,"Tribes fight suicide, a leading killer of native youth",12.0,0,TRIBAL-SUICIDE.en.0.txt,train
TRIBAL-SUICIDE,en,Indian nations fighting the scourge of suicide among their youth ,9.0,1,TRIBAL-SUICIDE.en.1.txt,train
TRIBAL-SUICIDE,en,Programs to prevent suicide by Native American youth in danger,7.0,2,TRIBAL-SUICIDE.en.2.txt,train
TRIBAL-SUICIDE,en,Native Americans fight to save their young from suicide ,5.0,3,TRIBAL-SUICIDE.en.3.txt,train
TRIBAL-SUICIDE,en,Native Americans fighting to save their young from suicide ,4.0,4,TRIBAL-SUICIDE.en.4.txt,train
Teddyroosevelt-library,en,Teddy Roosevelt library to rely on digital efforts,12.0,0,Teddyroosevelt-library.en.0.txt,train
Teddyroosevelt-library,en,All the president's papers - online,8.0,1,Teddyroosevelt-library.en.1.txt,train
Teddyroosevelt-library,en,"What would Teddy Roosevelt say about his online library? ""Bully!""",7.0,2,Teddyroosevelt-library.en.2.txt,train
Teddyroosevelt-library,en,Preserving personal and presidential papers of Teddy Roosevelt - online,5.0,3,Teddyroosevelt-library.en.3.txt,train
Teddyroosevelt-library,en,"Amid wide open spaces, a presidential library takes shape in cyberspace",4.0,4,Teddyroosevelt-library.en.4.txt,train
US-Constitution,en,The Constitution of the United States of America,12.0,0,US-Constitution.en.0.txt,train
USCHINA-TOURISM,en,Chinese tourists' spending in the US takes off,12.0,0,USCHINA-TOURISM.en.0.txt,train
USCHINA-TOURISM,en,"Chinese tourists hit the outlet stores, not the surf, in California  ",8.0,1,USCHINA-TOURISM.en.1.txt,train
USCHINA-TOURISM,en,"Chinese tourists seek shops, not sand, in California",7.0,2,USCHINA-TOURISM.en.2.txt,train
USCHINA-TOURISM,en,"Chinese tourists hit the mall, not the beach, in California",5.0,3,USCHINA-TOURISM.en.3.txt,train
USCHINA-TOURISM,en,"Chinese tourists go shopping, not sunning, in California ",4.0,4,USCHINA-TOURISM.en.4.txt,train
Ukraine-invasion,en,Ukraine: 2 tank columns from Russia enter Ukraine,12.0,0,Ukraine-invasion.en.0.txt,train
Ukraine-invasion,en,"Ukraine says Russia invaded its southeastern region, town taken",9.0,1,Ukraine-invasion.en.1.txt,train
Ukraine-invasion,en,Russian troops and tanks enter Ukraine as rebel conflict widens,7.0,2,Ukraine-invasion.en.2.txt,train
Ukraine-invasion,en,Conflict in Ukraine widens as Russian tanks and rebels enter key town,6.0,3,Ukraine-invasion.en.3.txt,train
Ukraine-invasion,en,"Russian tanks and troops invade Ukraine, NATO says",4.0,4,Ukraine-invasion.en.4.txt,train
Wisconsin-earthquakes,en,Wisconsin geologists go miles deep in quest to predict earthquakes,12.0,0,Wisconsin-earthquakes.en.0.txt,train
Wisconsin-earthquakes,en,Digging down deep for earthquake studies,8.0,1,Wisconsin-earthquakes.en.1.txt,train
Wisconsin-earthquakes,en,Wisconsin geologists' big dig to understand earthquakes,6.0,2,Wisconsin-earthquakes.en.2.txt,train
Wisconsin-earthquakes,en,Discovering the mysteries of earthquakes,4.0,3,Wisconsin-earthquakes.en.3.txt,train
Wisconsin-earthquakes,en,Scientists want to know how earthquakes start,3.0,4,Wisconsin-earthquakes.en.4.txt,train
abercrombie-headscarves,en,"Abercrombie & Fitch settles woman's lawsuit over hijab, changes dress code",12.0,0,abercrombie-headscarves.en.0.txt,train
abercrombie-headscarves,en,"Fired for defying Hollister's ""look policy,"" Muslim worker wins settlement",8.0,1,abercrombie-headscarves.en.1.txt,train
abercrombie-headscarves,en,Abercrombie settles discrimination suit by paying back fired worker,7.0,2,abercrombie-headscarves.en.2.txt,train
abercrombie-headscarves,en,Abercrombie settles lawsuit with employee fired for wearing headscarf,5.0,3,abercrombie-headscarves.en.3.txt,train
abercrombie-headscarves,en,Clothing chain agrees to pay back woman fired for wearing headscarf,4.0,4,abercrombie-headscarves.en.4.txt,train
accordion-lessons,en,More fans of the accordion are squeezing in lessons,12.0,0,accordion-lessons.en.0.txt,train
accordion-lessons,en,"Once unhip instrument is now cool, accordion to Weird Al",8.0,1,accordion-lessons.en.1.txt,train
accordion-lessons,en,Music school squeezes in students for squeeze-box lessons,6.0,2,accordion-lessons.en.2.txt,train
accordion-lessons,en,Accordion goes from unhip to cool,5.0,3,accordion-lessons.en.3.txt,train
accordion-lessons,en,"Weird as it may sound, the accordion is cool again",4.0,4,accordion-lessons.en.4.txt,train
adidas-mascots,en,Adidas offers to help eliminate Native American mascots,12.0,0,adidas-mascots.en.0.txt,train
adidas-mascots,en,"Adidas pushes to change Native mascots, pledges help to high schools",8.0,1,adidas-mascots.en.1.txt,train
adidas-mascots,en,Adidas pledges to help schools change their Native American mascots,6.0,2,adidas-mascots.en.2.txt,train
adidas-mascots,en,"Adidas wants to change Native American mascots, offers help to schools",4.0,3,adidas-mascots.en.3.txt,train
adidas-mascots,en,Adidas offers to help schools change Native American mascots,2.0,4,adidas-mascots.en.4.txt,train
affirmativeaction-research,en,Opinion: What science has to say about affirmative action,12.0,0,affirmativeaction-research.en.0.txt,train
affirmativeaction-research,en,Opinion: Affirmative action students can thrive in top schools,9.0,1,affirmativeaction-research.en.1.txt,train
affirmativeaction-research,en,Opinion: Opponents of affirmative action are using a flawed theory,7.0,2,affirmativeaction-research.en.2.txt,train
affirmativeaction-research,en,Opinion: Minority students can thrive if stress and bias are reduced,5.0,3,affirmativeaction-research.en.3.txt,train
affirmativeaction-research,en,Opinion: Minority students face problems that can hurt grades,4.0,4,affirmativeaction-research.en.4.txt,train
affluenza-trial,en,Sentence in Texas teen's fatal DWI wreck stirs ire,12.0,0,affluenza-trial.en.0.txt,train
affluenza-trial,en,"Probation for ""affluenza"" teen in deadly drunk driving crash sparks anger",9.0,1,affluenza-trial.en.1.txt,train
affluenza-trial,en,Anger over probation for rich teen in drunk driving crash that killed 4,7.0,2,affluenza-trial.en.2.txt,train
affluenza-trial,en,"Rich teen gets probation for deadly drunk driving crash, many angry",5.0,3,affluenza-trial.en.3.txt,train
affluenza-trial,en,Many angry that rich teen is not going to jail for drunk driving crash,4.0,4,affluenza-trial.en.4.txt,train
afghan-childlaborers,en,"In Afghanistan, childhood is often a full-time job",12.0,0,afghan-childlaborers.en.0.txt,train
afghan-childlaborers,en,"In Afghanistan, school is a luxury that many working children cannot afford",7.0,1,afghan-childlaborers.en.1.txt,train
afghan-childlaborers,en,"School just a dream for many Afghan children, working hard for low pay",6.0,2,afghan-childlaborers.en.2.txt,train
afghan-childlaborers,en,Many Afghan children work hard for low pay; school is just a daydream,4.0,3,afghan-childlaborers.en.3.txt,train
afghan-childlaborers,en,Many Afghan children must work hard for low pay to help feed their families,3.0,4,afghan-childlaborers.en.4.txt,train
afghan-grooms,en,"A blushing bride, a crushing debt for Afghan grooms",12.0,0,afghan-grooms.en.0.txt,train
afghan-grooms,en,Age-old tradition means Afghan grooms grow old saving up to wed,8.0,1,afghan-grooms.en.1.txt,train
afghan-grooms,en,"In the walwar tradition, Afghan grooms go deep into debt to pay for a wife",6.0,2,afghan-grooms.en.2.txt,train
afghan-grooms,en,"Costly tradition keeps many Afghan grooms from saying ""I do""",5.0,3,afghan-grooms.en.3.txt,train
afghan-grooms,en,Many Afghan grooms borrow thousands to pay for a wife,4.0,4,afghan-grooms.en.4.txt,train
afghan-hotdog,en,Afghan entrepreneurs' hot dogs on wheels turn heads in Kabul,12.0,0,afghan-hotdog.en.0.txt,train
afghan-hotdog,en,Funky food trucks pull up in Kabul,8.0,1,afghan-hotdog.en.1.txt,train
afghan-hotdog,en,Food-truck mania drives in to Afghanistan,7.0,2,afghan-hotdog.en.2.txt,train
afghan-hotdog,en,Kabul's first food trucks serving up hot dogs,6.0,3,afghan-hotdog.en.3.txt,train
afghan-hotdog,en,Hot dog on wheels? Food trucks drive into Kabul,4.0,4,afghan-hotdog.en.4.txt,train
afghan-painter,en,Afghan girl who lost arm paints with prosthetic,12.0,0,afghan-painter.en.0.txt,train
afghan-painter,en,"From the ashes of war, a young artist is born",8.0,1,afghan-painter.en.1.txt,train
afghan-painter,en,"With a new arm, a young war victim finds her artistic talent",6.0,2,afghan-painter.en.2.txt,train
afghan-painter,en,A new arm for a young girl reveals a hidden talent for art,5.0,3,afghan-painter.en.3.txt,train
afghan-painter,en,A new arm gives a young girl a new life as an artist,4.0,4,afghan-painter.en.4.txt,train
afghan-park,en,Afghan park offers peace and breath-taking beauty far from war,12.0,0,afghan-park.en.0.txt,train
afghan-park,en,Afghan park offers peace and beauty far from war's horrors ,8.0,1,afghan-park.en.1.txt,train
afghan-park,en,Afghan families flock to their country's first national park,7.0,2,afghan-park.en.2.txt,train
afghan-park,en,Riding swan boats in an Afghan park to forget about war for a time,5.0,3,afghan-park.en.3.txt,train
afghan-park,en,"Getting away from Afghan war's horrors, in a swan boat on a lake",4.0,4,afghan-park.en.4.txt,train
afghan-scouts,en,"For Afghan Boy Scouts, 'Be prepared' takes on a new meaning",12.0,0,afghan-scouts.en.0.txt,train
afghan-scouts,en,Afghan Scouts: Learning survival skills in a war zone,8.0,1,afghan-scouts.en.1.txt,train
afghan-scouts,en,Afghan Scouts learn life-saving skills in a war zone,6.0,2,afghan-scouts.en.2.txt,train
afghan-scouts,en,Afghan Scouts learn how to spot roadside bombs,5.0,3,afghan-scouts.en.3.txt,train
afghan-scouts,en,"For Afghan Scouts, survival skills are life-savers in a war zone",4.0,4,afghan-scouts.en.4.txt,train
afghan-scouts,en,Afghan scouts learn skills in a war zone,3.0,5,afghan-scouts.en.5.txt,train
afghan-taxidriver,en,Afghanistan's only woman taxi driver steers change,12.0,0,afghan-taxidriver.en.0.txt,train
afghan-taxidriver,en,"Afghan woman drives taxi, defies threats",8.0,1,afghan-taxidriver.en.1.txt,train
afghan-taxidriver,en,Hailing Afghanistan's only woman taxi driver,7.0,2,afghan-taxidriver.en.2.txt,train
afghan-taxidriver,en,Taxi driver encourages other Afghan women,5.0,3,afghan-taxidriver.en.3.txt,train
afghan-taxidriver,en,Afghanistan's only woman taxi driver is a role model,4.0,4,afghan-taxidriver.en.4.txt,train
afghan-women,en,A precarious time for Afghan women,12.0,0,afghan-women.en.0.txt,train
afghan-women,en,Afghan women worry their new freedoms may disappear,8.0,1,afghan-women.en.1.txt,train
afghan-women,en,"If the Taliban takes power, Afghan women fear their freedoms may vanish",7.0,2,afghan-women.en.2.txt,train
afghan-women,en,New freedoms of Afghan women under threat,5.0,3,afghan-women.en.3.txt,train
